experiment,output_dir,status,n_metrics_files,n_eval_files,n_ckpt_files,max_epoch,max_step,best_val_auc_causal,best_val_auc_full,best_val_auc_spurious,best_val_auc_spurious_linear,last_train_loss,last_train_loss_task,last_train_loss_cls,last_train_loss_adv,last_train_loss_domain,last_train_loss_ladv,last_train_loss_vae,best_metrics_file,best_ckpt_by_name,best_ckpt_val_auc_causal_by_name,eval_paths,metrics_paths
outputs_A8,outputs_A8,train+eval,1,2,1,99,800899,0.9972913265228271,0.9972913265228271,0.5182601809501648,,0.5789738297462463,0.0026974438223987818,,,,0.5585619807243347,,outputs_A8/logs/lightning_logs/version_0/metrics.csv,,,outputs_A8/results/eval_results.txt;outputs_A8/results/trimmed/eval_results.txt,outputs_A8/logs/lightning_logs/version_0/metrics.csv
outputs_A9,outputs_A9,train_only,1,0,3,99,50699,0.9975996613502502,0.9975996613502502,0.5251932144165039,,0.6164441108703613,0.002982602920383215,,,,0.5601443648338318,,outputs_A9/logs/lightning_logs/version_0/metrics.csv,outputs_A9/ckpts/model-epoch=83-val_auc_causal=0.9976.ckpt,0.9976,,outputs_A9/logs/lightning_logs/version_0/metrics.csv
outputs_A9_e2e,outputs_A9_e2e,train_only,1,0,2,18,38531,0.9999653100967407,,,,1.2479974031448364,0.003827995155006647,,,,0.5609837770462036,,outputs_A9_e2e/logs/version_0/metrics.csv,outputs_A9_e2e/ckpts/model-epoch=08-val_auc_causal=1.0000.ckpt,1.0,,outputs_A9_e2e/logs/version_0/metrics.csv
outputs_B1,outputs_B1,train+eval,1,1,1,16,135999,0.9986768960952759,,0.5132487416267395,,6.410982131958008,,0.006847372278571129,0.6158615350723267,,,,outputs_B1/logs/lightning_logs/version_0/metrics.csv,,,outputs_B1/results/favc_eval/eval_results.txt,outputs_B1/logs/lightning_logs/version_0/metrics.csv
outputs_B1b,outputs_B1b,train_only,1,0,1,99,799999,0.9985675811767578,,0.5237933397293091,,6.230103015899658,,0.003008692292496562,0.6142874956130981,,,,outputs_B1b/logs/lightning_logs/version_0/metrics.csv,,,,outputs_B1b/logs/lightning_logs/version_0/metrics.csv
outputs_B2,outputs_B2,train_only,2,0,2,27,223999,0.9980862140655518,,0.5182933807373047,,6.1619672775268555,,0.0045849052257835865,0.6156865954399109,,,,outputs_B2/logs/lightning_logs/version_1/metrics.csv,,,,outputs_B2/logs/lightning_logs/version_0/metrics.csv;outputs_B2/logs/lightning_logs/version_1/metrics.csv
outputs_B3,outputs_B3,train_only,1,0,1,23,191999,0.9981291890144348,,0.5185854434967041,,6.824162483215332,,0.007416137028485537,0.6153597831726074,,,,outputs_B3/logs/lightning_logs/version_0/metrics.csv,,,,outputs_B3/logs/lightning_logs/version_0/metrics.csv
outputs_B_all,outputs_B_all,train_only,1,0,1,7,63999,0.9980172514915466,,0.5219745635986328,,7.291598320007324,,0.014143485575914383,0.6178024411201477,,,,outputs_B_all/logs/lightning_logs/version_0/metrics.csv,,,,outputs_B_all/logs/lightning_logs/version_0/metrics.csv
outputs_ablation_a1,outputs_ablation_a1,empty,0,0,0,,,,,,,,,,,,,,,,,,
outputs_baseline,outputs_baseline,train+eval,1,1,1,15,127999,,,,,3.194758028257638e-05,,,,,,,,,,outputs_baseline/results_favc_trimmed/eval_results.txt,outputs_baseline/logs/lightning_logs/version_0/metrics.csv
outputs_causal,outputs_causal,train+eval,5,1,5,99,799999,0.9981629848480225,0.9982540607452393,0.9972054362297058,,6.130303382873535,,0.0,0.6130288243293762,,,,outputs_causal/logs/lightning_logs/version_2/metrics.csv,,,outputs_causal/results_favc_trimmed/eval_results.txt,outputs_causal/logs/lightning_logs/version_0/metrics.csv;outputs_causal/logs/lightning_logs/version_1/metrics.csv;outputs_causal/logs/lightning_logs/version_2/metrics.csv;outputs_causal/logs/lightning_logs/version_3/metrics.csv;outputs_causal/logs/lightning_logs/version_4/metrics.csv
outputs_causal_club,outputs_causal_club,train_only,1,0,1,70,567999,0.9979223012924194,0.9979652166366577,0.5084584355354309,,1.0248618309560698e-07,,8.73177619098442e-09,,,,,outputs_causal_club/logs/lightning_logs/version_0/metrics.csv,,,,outputs_causal_club/logs/lightning_logs/version_0/metrics.csv
outputs_causal_mi,outputs_causal_mi,train+eval,2,1,2,28,231999,0.9978142976760864,0.9980003833770752,0.5066195130348206,,3.4723390740509785e-07,,4.08291311870812e-09,,,,,outputs_causal_mi/logs/lightning_logs/version_0/metrics.csv,,,outputs_causal_mi/results/eval_results.txt,outputs_causal_mi/logs/lightning_logs/version_0/metrics.csv;outputs_causal_mi/logs/lightning_logs/version_1/metrics.csv
outputs_mi,outputs_mi,train_only,1,0,3,15,127999,,,,,,,,,,,,,,,,outputs_mi/logs/lightning_logs/version_0/metrics.csv
